training_episode,benchmark_episode_id,method,actor_critic_loss,policy_loss,value_loss,entropy,candidate_reward_mean,selected_reward_mean,task_completion_proxy,remaining_task_ratio,device
11200,S90,paper1_deep_hgrl_ugv_assisted,0.010752884671092033,0.00614969851449132,0.011532966669619782,0.0586648882229411,1.0734376460313797,1.2871738523244858,1.0,0.0,cuda
11300,S56,paper1_deep_hgrl_ugv_assisted,0.005064512602984905,0.0,0.011254472759901546,1.3281340848841707e-08,1.0721832886338234,1.2966968715190887,1.0,0.0,cuda
11400,S80,paper1_deep_hgrl_ugv_assisted,0.005770323798060417,0.0029160985723137856,0.007370356457158778,0.04624349623918539,1.0935153663158417,1.3009029924869537,1.0,0.0,cuda
11500,S28,paper1_deep_hgrl_ugv_assisted,0.00988193228840828,0.00029265894409036264,0.021482715877937153,0.007794836536730278,1.4625257551670074,1.5687993466854095,1.0,0.0,cuda
11600,S67,paper1_deep_hgrl_ugv_assisted,0.004245729185640812,1.1587229892029427e-05,0.009418367425155338,0.0004123274411542519,1.2217330932617188,1.4598634093999863,1.0,0.0,cuda
11700,S51,paper1_deep_hgrl_ugv_assisted,0.013572188094258308,3.595815724111162e-05,0.030105308887868887,0.001115782303925344,1.3093283921480179,1.6223378330469131,1.0,0.0,cuda
11800,S46,paper1_deep_hgrl_ugv_assisted,0.003484545974060893,1.4155782537272898e-06,0.007741673107830138,6.223390698326948e-05,1.1910727620124817,1.419647216796875,1.0,0.0,cuda
11900,S42,paper1_deep_hgrl_ugv_assisted,0.03334738314151764,0.02784432254929392,0.014676947628686321,0.11015645973232609,1.401721328496933,1.543182522058487,1.0,0.0,cuda
12000,S70,paper1_deep_hgrl_ugv_assisted,0.0034081810154020786,2.303991999497157e-05,0.007539377573266393,0.0007578670298364207,1.2133326977491379,1.3624742925167084,1.0,0.0,cuda
12100,S98,paper1_deep_hgrl_ugv_assisted,0.0051413048058748245,0.0,0.011425121684169426,7.675782042336744e-10,1.2117909789085388,1.440457746386528,1.0,0.0,cuda
12200,S81,paper1_deep_hgrl_ugv_assisted,0.001261556288227439,1.4528598057950148e-07,0.0028033183421030117,8.218109415018617e-06,1.0046859383583069,1.1760452389717102,1.0,0.0,cuda
12300,S2,paper1_deep_hgrl_ugv_assisted,0.0037742010317742825,0.0002837375529338715,0.007906047838332597,0.00672581063190714,1.396485149860382,1.4933184087276459,1.0,0.0,cuda
12400,S36,paper1_deep_hgrl_ugv_assisted,0.004769682418555021,0.000687640807882417,0.009421817007023492,0.015777610753881014,1.277477890253067,1.459118440747261,1.0,0.0,cuda
12500,S93,paper1_deep_hgrl_ugv_assisted,0.00607211422175169,0.00019037739548011245,0.013173457293760293,0.004631887558257115,1.175670050084591,1.394380658864975,1.0,0.0,cuda
12600,S55,paper1_deep_hgrl_ugv_assisted,0.027803141623735428,0.0223852189083118,0.014108737974822816,0.09310100461330123,1.222463697195053,1.4871380925178528,1.0,0.0,cuda
12700,S23,paper1_deep_hgrl_ugv_assisted,0.0037548549007624388,0.0017956816009245813,0.005021410383960756,0.030046129391134515,1.3599309027194977,1.46723572909832,1.0,0.0,cuda
12800,S15,paper1_deep_hgrl_ugv_assisted,0.005939702037721872,0.001735389573326529,0.009977125526347663,0.028539390428522493,1.2897784113883972,1.3989267349243164,1.0,0.0,cuda
12900,S86,paper1_deep_hgrl_ugv_assisted,0.009945610538125038,0.0006659694643076364,0.020928005970176855,0.013796096924255714,1.2652576193213463,1.5636393204331398,1.0,0.0,cuda
13000,S35,paper1_deep_hgrl_ugv_assisted,0.002456838730722666,3.862657649733592e-05,0.005402580024224335,0.0012948624693112087,1.1098542511463165,1.2982890158891678,1.0,0.0,cuda
13100,S41,paper1_deep_hgrl_ugv_assisted,0.00472425390034914,1.4901157641133977e-08,0.010498326268134406,7.972920564952834e-07,1.1456653028726578,1.420890673995018,1.0,0.0,cuda
13200,S1,paper1_deep_hgrl_ugv_assisted,0.0035189653281122446,6.891747259540892e-07,0.00781914561503072,3.391657641888847e-05,1.3172126114368439,1.41734217107296,1.0,0.0,cuda
13300,S32,paper1_deep_hgrl_ugv_assisted,0.00377463037148118,5.587931162231996e-08,0.008388011425267905,3.0600381411175382e-06,1.25552536547184,1.5257071107625961,1.0,0.0,cuda
13400,S100,paper1_deep_hgrl_ugv_assisted,0.005573437083512545,0.003502079748500364,0.005542599726936714,0.04228127547332572,1.0081998109817505,1.2128115594387054,1.0,0.0,cuda
13500,S83,paper1_deep_hgrl_ugv_assisted,0.010588635690510273,0.0016537796946067829,0.020427617637324147,0.025757207368189445,1.1881427764892578,1.4804472476243973,1.0,0.0,cuda
13600,S81,paper1_deep_hgrl_ugv_assisted,0.0024903358425945044,4.2095496155525325e-07,0.005533608975383686,2.090905424270842e-05,1.0046859383583069,1.1760452389717102,1.0,0.0,cuda
13700,S53,paper1_deep_hgrl_ugv_assisted,0.011897043325006962,0.010206534527199551,0.005404240459029097,0.07413987423116476,1.2645622044801712,1.4952972382307053,1.0,0.0,cuda
13800,S12,paper1_deep_hgrl_ugv_assisted,0.00516388937830925,0.0018206426679228116,0.00804709278691007,0.0277945095091236,1.2633539885282516,1.3509744703769684,1.0,0.0,cuda
13900,S24,paper1_deep_hgrl_ugv_assisted,0.004097350873053074,0.00029422803345369175,0.008602350081673649,0.006793462794861771,1.1856894046068192,1.3941348195075989,1.0,0.0,cuda
14000,S68,paper1_deep_hgrl_ugv_assisted,0.015736345201730728,0.005695523710983252,0.023593620106112212,0.05763061598926105,1.2327261120080948,1.4139586389064789,1.0,0.0,cuda
14100,S48,paper1_deep_hgrl_ugv_assisted,0.0062174429185688496,0.0022718783002346754,0.009473339591750118,0.03174380586214784,1.1752907037734985,1.4593431949615479,1.0,0.0,cuda
14200,S42,paper1_deep_hgrl_ugv_assisted,0.06849335879087448,0.06425299866941692,0.013044613806414418,0.16297086647397765,1.401721328496933,1.543182522058487,1.0,0.0,cuda
14300,S65,paper1_deep_hgrl_ugv_assisted,0.0027130134403705597,0.0,0.006028919781329023,4.195857944309029e-08,0.9664373993873596,1.233848586678505,1.0,0.0,cuda
14400,S92,paper1_deep_hgrl_ugv_assisted,0.006891719996929169,0.0003408244978544417,0.014730793074704707,0.007796170256824553,1.333484634757042,1.5480686873197556,1.0,0.0,cuda
